モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,Ni_5Kpm_7.7mg_20241108,,,,,,,,
測定日時,2024/11/08 14:48:32,,,,,,,,
サンプル名,Ni,,,,,,,,
サンプル質量,7.7,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,317,377,5,3,0.2,On,Off,On
,2,377,317,5,3,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
Ni_5Kpm_7.7mg_20241108  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,0.406088363,,,,,,,,
2,-0.388923578,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.566666667,314.5062866,-434.2227783,568.7387695,,,,,,
0.57,314.5192871,-436.0817871,562.4384766,,,,,,
0.573333333,314.5323792,-437.9169922,556.5922852,,,,,,
0.576666667,314.5454712,-439.7584229,550.6435547,,,,,,
0.58,314.5586548,-441.6188965,544.5878906,,,,,,
0.583333333,314.5718384,-443.4470215,538.3579102,,,,,,
0.586666667,314.5850525,-445.2171631,531.7397461,,,,,,
0.59,314.5983582,-446.949707,525.3369141,,,,,,
0.593333333,314.6116638,-448.684082,518.2397461,,,,,,
0.596666667,314.6250305,-450.4080811,510.6489258,,,,,,
0.6,314.6383972,-452.0782471,502.565918,,,,,,
0.603333333,314.651825,-453.7011719,494.1357422,,,,,,
0.606666667,314.6652527,-455.3193359,486.375,,,,,,
0.61,314.6787415,-456.9630127,479.7231445,,,,,,
0.613333333,314.6922607,-458.6320801,474.328125,,,,,,
0.616666667,314.7058105,-460.2651367,468.7998047,,,,,,
0.62,314.7194214,-461.8566895,462.6166992,,,,,,
0.623333333,314.7330322,-463.4370117,456.5595703,,,,,,
0.626666667,314.7467041,-464.9968262,451.1000977,,,,,,
0.63,314.7604065,-466.517334,445.6552734,,,,,,
0.633333333,314.7741394,-467.9992676,439.7915039,,,,,,
0.636666667,314.7879028,-469.3609619,433.7915039,,,,,,
0.64,314.8016357,-470.6876221,428.4067383,,,,,,
0.643333333,314.8154602,-471.9550781,423.5771484,,,,,,
0.646666667,314.8293152,-473.184082,419.3481445,,,,,,
0.65,314.8432312,-474.4642334,414.9331055,,,,,,
0.653333333,314.8571472,-475.8244629,410.0698242,,,,,,
0.656666667,314.8711243,-477.2236328,405.2358398,,,,,,
0.66,314.8851013,-478.5705566,400.8398438,,,,,,
0.663333333,314.8991394,-479.9121094,396.4291992,,,,,,
