モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,BTO_5Kpm_9mg_20241115_2,,,,,,,,
測定日時,2024/11/15 15:21:14,,,,,,,,
サンプル名,BTO,,,,,,,,
サンプル質量,9,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,107,147,5,3,0.2,On,Off,On
,2,147,107,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
BTO_5Kpm_9mg_20241115_2  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-0.970383861,,,,,,,,
2,0.840006949,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.513333333,104.4510803,-274.7719727,692.5114746,,,,,,
0.516666667,104.4609299,-277.0778503,688.4454346,,,,,,
0.52,104.4708405,-279.3696289,684.3453369,,,,,,
0.523333333,104.4808121,-281.6436157,680.2595215,,,,,,
0.526666667,104.4908676,-283.9031067,676.1824951,,,,,,
0.53,104.5009918,-286.1427307,671.9355469,,,,,,
0.533333333,104.5112,-288.362915,667.5769043,,,,,,
0.536666667,104.5214386,-290.5802612,663.2779541,,,,,,
0.54,104.5317383,-292.7861938,659.1386719,,,,,,
0.543333333,104.5421219,-294.9742432,654.9492188,,,,,,
0.546666667,104.5526047,-297.1474304,650.7784424,,,,,,
0.55,104.5631409,-299.3103943,646.8424072,,,,,,
0.553333333,104.5737381,-301.4720764,642.9111328,,,,,,
0.556666667,104.5844269,-303.6132202,638.8850098,,,,,,
0.56,104.5951767,-305.7312317,634.8087158,,,,,,
0.563333333,104.6059265,-307.8354492,630.8789063,,,,,,
0.566666667,104.6168213,-309.9346008,627.7921143,,,,,,
0.57,104.6277237,-312.0161133,624.710083,,,,,,
0.573333333,104.63871,-314.0785828,621.0446777,,,,,,
0.576666667,104.6497269,-316.1351318,616.8251953,,,,,,
0.58,104.6608353,-318.190094,612.4976807,,,,,,
0.583333333,104.6720047,-320.2290344,608.1925049,,,,,,
0.586666667,104.683197,-322.2375183,604.059082,,,,,,
0.59,104.6944885,-324.2279053,600.0494385,,,,,,
0.593333333,104.7058029,-326.2088623,595.940918,,,,,,
0.596666667,104.7171783,-328.1809998,591.3101807,,,,,,
0.6,104.7286148,-330.148468,586.4494629,,,,,,
0.603333333,104.7401123,-332.101532,581.6535645,,,,,,
0.606666667,104.7516708,-334.0848999,576.9023438,,,,,,
0.61,104.7632904,-336.0939941,572.1687012,,,,,,
0.613333333,104.7749634,-338.0570679,567.2687988,,,,,,
0.616666667,104.7866669,-339.9437866,562.7285156,,,,,,
0.62,104.798439,-341.802063,558.0443115,,,,,,
0.623333333,104.8102341,-343.6474915,553.2894287,,,,,,
0.626666667,104.8221207,-345.4825745,548.8256836,,,,,,
0.63,104.8340607,-347.3180237,544.65271,,,,,,
0.633333333,104.8460388,-349.1468811,540.5339355,,,,,,
0.636666667,104.858078,-350.9462891,536.4689941,,,,,,
0.64,104.8701096,-352.6864014,532.2407227,,,,,,
0.643333333,104.8822403,-354.4014282,527.7692871,,,,,,
0.646666667,104.8943939,-356.1083984,523.1282959,,,,,,
0.65,104.9065781,-357.8126831,517.8208008,,,,,,
0.653333333,104.9187927,-359.4957886,512.6711426,,,,,,
0.656666667,104.9310989,-361.1604004,508.1583252,,,,,,
0.66,104.9434357,-362.8366089,504.0827637,,,,,,
0.663333333,104.9557953,-364.4940796,499.9343262,,,,,,
0.666666667,104.9682236,-366.1466064,495.7617188,,,,,,
0.67,104.9806747,-367.7974243,491.5473633,,,,,,
0.673333333,104.9932251,-369.4437866,487.3278809,,,,,,
0.676666667,105.0057983,-371.0839233,483.0128174,,,,,,
0.68,105.0184326,-372.713562,479.0661621,,,,,,
0.683333333,105.0310974,-374.3174438,475.5256348,,,,,,
0.686666667,105.0438461,-375.8926392,471.9243164,,,,,,
0.69,105.056633,-377.4591064,468.121582,,,,,,
0.693333333,105.0694199,-379.0264893,464.2148438,,,,,,
0.696666667,105.0822906,-380.5840454,460.7116699,,,,,,
0.7,105.095192,-382.1195679,456.8942871,,,,,,
0.703333333,105.1081619,-383.6373291,453.0761719,,,,,,
0.706666667,105.1211548,-385.1345825,449.2177734,,,,,,
0.71,105.1341782,-386.6210327,445.1777344,,,,,,
0.713333333,105.1472626,-388.1048584,441.126709,,,,,,
0.716666667,105.1603699,-389.5778809,437.0390625,,,,,,
0.72,105.1735458,-391.0263672,432.8466797,,,,,,
0.723333333,105.1867523,-392.4598999,428.7224121,,,,,,
0.726666667,105.2000122,-393.880188,424.814209,,,,,,
0.73,105.2133026,-395.27948,420.9873047,,,,,,
0.733333333,105.2266617,-396.6586914,416.873291,,,,,,
0.736666667,105.2400436,-398.0288086,412.5373535,,,,,,
0.74,105.2534561,-399.3966064,408.2578125,,,,,,
0.743333333,105.2668991,-400.7510376,404.3510742,,,,,,
0.746666667,105.2804337,-402.0916748,400.6508789,,,,,,
0.75,105.2939606,-403.4141846,396.9594727,,,,,,
0.753333333,105.3075256,-404.7263794,393.060791,,,,,,
0.756666667,105.3211441,-406.0352783,388.9841309,,,,,,
0.76,105.3348007,-407.3295898,384.9191895,,,,,,
0.763333333,105.3484802,-408.6105957,381.0812988,,,,,,
0.766666667,105.3621979,-409.8788452,377.5927734,,,,,,
0.77,105.3759689,-411.1359253,374.390625,,,,,,
0.773333333,105.3897095,-412.3734131,371.1643066,,,,,,
0.776666667,105.4035416,-413.5864868,367.7885742,,,,,,
0.78,105.4173737,-414.7810059,364.2106934,,,,,,
0.783333333,105.4312668,-415.9744873,360.6760254,,,,,,
0.786666667,105.4452133,-417.1781616,357.2856445,,,,,,
0.79,105.4591675,-418.3695068,353.994873,,,,,,
0.793333333,105.4731522,-419.5410156,350.6645508,,,,,,
0.796666667,105.4871902,-420.6912231,347.2045898,,,,,,
0.8,105.501236,-421.8222046,343.7775879,,,,,,
0.803333333,105.5153351,-422.9400635,340.4743652,,,,,,
0.806666667,105.5294342,-424.0671387,337.2121582,,,,,,
0.81,105.5435944,-425.2114868,334.1213379,,,,,,
0.813333333,105.5577545,-426.34552,331.1462402,,,,,,
0.816666667,105.5719528,-427.4503174,328.2905273,,,,,,
0.82,105.586174,-428.5302124,325.4597168,,,,,,
0.823333333,105.6004486,-429.5983887,322.6171875,,,,,,
0.826666667,105.6147614,-430.664917,319.6259766,,,,,,
0.83,105.6290741,-431.7277222,316.6384277,,,,,,
0.833333333,105.6434174,-432.7761841,313.7094727,,,,,,
0.836666667,105.6577835,-433.805481,310.9467773,,,,,,
0.84,105.6721573,-434.8242188,308.2902832,,,,,,
0.843333333,105.6865845,-435.8399658,305.5708008,,,,,,
0.846666667,105.7010193,-436.8460083,302.7832031,,,,,,
0.85,105.715477,-437.8496704,299.619873,,,,,,
0.853333333,105.7299423,-438.8540649,296.2302246,,,,,,
0.856666667,105.7444611,-439.8492432,293.1547852,,,,,,
0.86,105.7589798,-440.8259277,290.3825684,,,,,,
0.863333333,105.7735291,-441.7851563,287.7055664,,,,,,
0.866666667,105.7881088,-442.7359619,284.9875488,,,,,,
0.87,105.8026886,-443.6883545,282.3354492,,,,,,
0.873333333,105.8172989,-444.6331787,279.6730957,,,,,,
0.876666667,105.8319397,-445.5661621,277.0935059,,,,,,
0.88,105.846611,-446.492981,274.6333008,,,,,,
0.883333333,105.8612823,-447.4003296,272.1628418,,,,,,
0.886666667,105.8759842,-448.289917,269.6704102,,,,,,
0.89,105.890686,-449.1723633,267.1816406,,,,,,
0.893333333,105.9054108,-450.0374146,264.4995117,,,,,,
0.896666667,105.9201736,-450.8989258,261.6936035,,,,,,
0.9,105.9349976,-451.7623291,258.9763184,,,,,,
0.903333333,105.9497833,-452.6174316,256.3835449,,,,,,
0.906666667,105.9646301,-453.4605103,253.8852539,,,,,,
0.91,105.9794846,-454.3027344,251.3232422,,,,,,
0.913333333,105.9943619,-455.1450195,248.7004395,,,,,,
