モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,TGS_5Kpm_9.2mg_20241115,,,,,,,,
測定日時,2024/11/15 14:19:48,,,,,,,,
サンプル名,TGS,,,,,,,,
サンプル質量,9.2,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,-13,72,5,3,0.2,On,Off,On
,2,72,-13,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
TGS_5Kpm_9.2mg_20241115  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-1.266645444,,,,,,,,
2,1.004942504,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.443333333,-15.12639046,-308.484375,1403.181885,,,,,,
0.446666667,-15.11636925,-313.153595,1401.842651,,,,,,
0.45,-15.10626888,-317.8274841,1400.200562,,,,,,
0.453333333,-15.09605598,-322.5040894,1398.484863,,,,,,
0.456666667,-15.08574867,-327.1811829,1396.793335,,,,,,
0.46,-15.07534504,-331.8639832,1395.057129,,,,,,
0.463333333,-15.06486225,-336.5400391,1393.313965,,,,,,
0.466666667,-15.05428314,-341.2114563,1391.980957,,,,,,
0.47,-15.04362488,-345.8804932,1390.870605,,,,,,
0.473333333,-15.03287125,-350.5264282,1389.8573,,,,,,
0.476666667,-15.02202129,-355.1531067,1388.609619,,,,,,
0.48,-15.01106071,-359.7666931,1387.131226,,,,,,
0.483333333,-15.00002003,-364.3712769,1385.75354,,,,,,
0.486666667,-14.98890018,-368.9595947,1384.196411,,,,,,
0.49,-14.97770023,-373.5255737,1382.186646,,,,,,
0.493333333,-14.96640396,-378.0819092,1379.865234,,,,,,
0.496666667,-14.95502949,-382.6411743,1377.583374,,,,,,
0.5,-14.94357395,-387.2017822,1375.467773,,,,,,
0.503333333,-14.93205547,-391.7521362,1373.545166,,,,,,
0.506666667,-14.92042542,-396.3464355,1369.676147,,,,,,
0.51,-14.90868378,-400.9546509,1365.53064,,,,,,
0.513333333,-14.89689445,-405.5722656,1361.497192,,,,,,
0.516666667,-14.88502502,-410.1810913,1357.541016,,,,,,
0.52,-14.87307644,-414.7664185,1353.430298,,,,,,
0.523333333,-14.86103249,-419.3405151,1349.164307,,,,,,
0.526666667,-14.84889221,-423.9030762,1344.838623,,,,,,
0.53,-14.83667278,-428.4243774,1340.67334,,,,,,
0.533333333,-14.82438946,-432.9140625,1336.563721,,,,,,
0.536666667,-14.81200981,-437.3964233,1331.938477,,,,,,
0.54,-14.79958344,-441.8896484,1326.855469,,,,,,
0.543333333,-14.78702927,-446.4047241,1321.531494,,,,,,
0.546666667,-14.77442741,-450.8455811,1316.017822,,,,,,
0.55,-14.76176167,-455.178833,1309.743896,,,,,,
0.553333333,-14.74898434,-459.5048218,1302.720703,,,,,,
0.556666667,-14.73614311,-463.8200684,1295.425781,,,,,,
0.56,-14.72323895,-468.1126709,1288.345459,,,,,,
0.563333333,-14.71025467,-472.3755493,1281.273926,,,,,,
0.566666667,-14.6972065,-476.621582,1273.888916,,,,,,
0.57,-14.68406296,-480.8528442,1266.544189,,,,,,
0.573333333,-14.67085552,-485.0802002,1259.489502,,,,,,
0.576666667,-14.65758419,-489.2756958,1252.480225,,,,,,
0.58,-14.6442337,-493.4277954,1245.085693,,,,,,
0.583333333,-14.63080311,-497.552063,1236.897949,,,,,,
0.586666667,-14.61729336,-501.6609497,1228.071533,,,,,,
0.59,-14.60373497,-505.7591553,1221.123779,,,,,,
0.593333333,-14.59011364,-509.8143921,1214.317383,,,,,,
0.596666667,-14.57639694,-513.8272705,1207.17627,,,,,,
0.6,-14.56261539,-517.8358765,1199.865967,,,,,,
0.603333333,-14.54875469,-521.8363037,1192.748291,,,,,,
0.606666667,-14.53483105,-525.8084717,1185.829102,,,,,,
0.61,-14.52082729,-529.7512207,1178.849121,,,,,,
0.613333333,-14.50675869,-533.673645,1171.749023,,,,,,
0.616666667,-14.4926281,-537.5809326,1164.451172,,,,,,
0.62,-14.47843266,-541.4683838,1157.188477,,,,,,
0.623333333,-14.46417332,-545.3143311,1150.060547,,,,,,
0.626666667,-14.44985104,-549.1157227,1142.993408,,,,,,
0.63,-14.43548107,-552.890564,1135.644287,,,,,,
0.633333333,-14.42101479,-556.65802,1128.057129,,,,,,
0.636666667,-14.40651703,-560.4035034,1120.869873,,,,,,
0.64,-14.39193916,-564.1138306,1113.854736,,,,,,
0.643333333,-14.37728214,-567.8010254,1106.499756,,,,,,
0.646666667,-14.36260891,-571.4832153,1099.033447,,,,,,
0.65,-14.34784031,-575.1502686,1091.871826,,,,,,
0.653333333,-14.33304024,-578.7967529,1084.702148,,,,,,
0.656666667,-14.31812763,-582.4229736,1077.176514,,,,,,
0.66,-14.30318451,-586.0092163,1069.5271,,,,,,
0.663333333,-14.28819275,-589.5620117,1061.745117,,,,,,
0.666666667,-14.27312088,-593.0965576,1054.05249,,,,,,
0.67,-14.25795364,-596.6090698,1046.509277,,,,,,
0.673333333,-14.24277115,-600.0787964,1038.966797,,,,,,
0.676666667,-14.22750854,-603.5145264,1031.343018,,,,,,
0.68,-14.21221447,-606.9428711,1023.930908,,,,,,
0.683333333,-14.19685555,-610.3544922,1016.677002,,,,,,
0.686666667,-14.18141842,-613.7316284,1009.19751,,,,,,
0.69,-14.16596413,-617.0930176,1001.337891,,,,,,
0.693333333,-14.15043068,-620.4452515,993.3493652,,,,,,
0.696666667,-14.13484955,-623.7545166,985.2297363,,,,,,
0.7,-14.11922073,-627.0279541,977.151123,,,,,,
0.703333333,-14.10351181,-630.2721558,969.3398438,,,,,,
0.706666667,-14.08775616,-633.47052,961.5131836,,,,,,
0.71,-14.07196712,-636.6380005,953.5092773,,,,,,
0.713333333,-14.05611515,-639.7866211,945.4841309,,,,,,
0.716666667,-14.0402317,-642.9204102,937.7885742,,,,,,
0.72,-14.02429962,-646.0367432,930.192627,,,,,,
0.723333333,-14.0083046,-649.1394043,922.3637695,,,,,,
0.726666667,-13.99227715,-652.2166748,914.390625,,,,,,
0.73,-13.9761858,-655.2583618,906.4892578,,,,,,
0.733333333,-13.96006298,-658.2630005,898.3190918,,,,,,
0.736666667,-13.94387627,-661.2390137,889.9145508,,,,,,
0.74,-13.92765808,-664.1862793,881.784668,,,,,,
0.743333333,-13.91142368,-667.1110229,873.6584473,,,,,,
0.746666667,-13.8951416,-670.0159302,865.8464355,,,,,,
0.75,-13.87881184,-672.8909302,858.4108887,,,,,,
0.753333333,-13.86244965,-675.7316284,850.9584961,,,,,,
0.756666667,-13.84603977,-678.5450439,843.3823242,,,,,,
0.76,-13.82956696,-681.3482056,835.6984863,,,,,,
0.763333333,-13.81307793,-684.1357422,827.657959,,,,,,
0.766666667,-13.79654026,-686.8853149,819.2929688,,,,,,
0.77,-13.77992344,-689.6019897,811.0341797,,,,,,
0.773333333,-13.76329136,-692.2979736,803.1108398,,,,,,
0.776666667,-13.74661064,-694.9539795,795.4372559,,,,,,
0.78,-13.72991371,-697.572876,787.8632813,,,,,,
0.783333333,-13.71317005,-700.171936,780.2915039,,,,,,
0.786666667,-13.69637775,-702.7453613,772.7402344,,,,,,
0.79,-13.67955399,-705.3135986,765.4892578,,,,,,
0.793333333,-13.66268253,-707.8626709,758.3056641,,,,,,
0.796666667,-13.64573097,-710.385498,750.9821777,,,,,,
0.8,-13.62876415,-712.8838501,743.5202637,,,,,,
0.803333333,-13.61173248,-715.3483887,735.8708496,,,,,,
0.806666667,-13.59465408,-717.7634277,728.2976074,,,,,,
0.81,-13.57757568,-720.144043,721.1359863,,,,,,
0.813333333,-13.56043243,-722.5108643,713.994873,,,,,,
0.816666667,-13.54325867,-724.8674927,706.7563477,,,,,,
0.82,-13.52603626,-727.2094727,699.8378906,,,,,,
0.823333333,-13.5087986,-729.5263672,693.140625,,,,,,
0.826666667,-13.4915123,-731.8193359,686.666748,,,,,,
0.83,-13.47416306,-734.1050415,680.2243652,,,,,,
0.833333333,-13.45676517,-736.3843994,673.4406738,,,,,,
0.836666667,-13.43933582,-738.6193237,666.5163574,,,,,,
0.84,-13.42189121,-740.8182983,659.5839844,,,,,,
0.843333333,-13.40439796,-742.9908447,652.682373,,,,,,
0.846666667,-13.38687325,-745.1394043,646.130127,,,,,,
0.85,-13.36930084,-747.2749634,640.0517578,,,,,,
0.853333333,-13.35172749,-749.4013672,634.0532227,,,,,,
0.856666667,-13.33413887,-751.494751,627.8811035,,,,,,
0.86,-13.31655025,-753.5578003,621.4467773,,,,,,
0.863333333,-13.29891396,-755.6127319,614.8483887,,,,,,
0.866666667,-13.28126144,-757.6605225,608.357666,,,,,,
0.87,-13.26354599,-759.7023315,601.9306641,,,,,,
0.873333333,-13.24582958,-761.7189941,595.2011719,,,,,,
0.876666667,-13.2280817,-763.6947632,588.4658203,,,,,,
0.88,-13.21031857,-765.6394043,582.1853027,,,,,,
0.883333333,-13.19250679,-767.56073,575.9589844,,,,,,
0.886666667,-13.17469501,-769.4595337,569.704834,,,,,,
0.89,-13.15686703,-771.3515015,563.4404297,,,,,,
0.893333333,-13.1389761,-773.232666,556.9438477,,,,,,
0.896666667,-13.12106895,-775.0938721,550.4187012,,,,,,
0.9,-13.10312939,-776.9256592,544.3637695,,,,,,
0.903333333,-13.08514309,-778.7218018,538.4838867,,,,,,
0.906666667,-13.06712437,-780.4916992,532.2546387,,,,,,
0.91,-13.04908943,-782.2487793,525.7185059,,,,,,
0.913333333,-13.03103924,-783.9900513,519.0109863,,,,,,
0.916666667,-13.01295662,-785.6987915,512.5004883,,,,,,
0.92,-12.99485779,-787.394104,506.3964844,,,,,,
